18-dic-2025;;;;;;;;;;;
iShares Core MSCI Japan IMI UCITS ETF;;;;;;;;;;;
Inception Date;25/09/2009;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;957,00;;;;;;;;;;
Shares Outstanding;101.620.596,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
8591;ORIX CORP;Finanziari;Azionario;42.109.129,83;0,58;42.109.129,83;1.465.950,00;28,72;Giappone;Tokyo Stock Exchange;JPY
6367;DAIKIN INDUSTRIES LTD;Industriali;Azionario;41.821.180,37;0,58;41.821.180,37;331.300,00;126,23;Giappone;Tokyo Stock Exchange;JPY
8725;MS&AD INSURANCE GROUP HOLDINGS INC;Finanziari;Azionario;39.067.620,75;0,54;39.067.620,75;1.626.110,00;24,03;Giappone;Tokyo Stock Exchange;JPY
3382;SEVEN & I HOLDINGS LTD;Generi di largo consumo;Azionario;38.287.124,30;0,53;38.287.124,30;2.654.500,00;14,42;Giappone;Tokyo Stock Exchange;JPY
6301;KOMATSU LTD;Industriali;Azionario;38.201.231,15;0,53;38.201.231,15;1.191.500,00;32,06;Giappone;Tokyo Stock Exchange;JPY
8630;SOMPO HOLDINGS INC;Finanziari;Azionario;38.045.271,14;0,53;38.045.271,14;1.122.700,00;33,89;Giappone;Tokyo Stock Exchange;JPY
9432;NTT INC;Comunicazione;Azionario;38.036.155,84;0,53;38.036.155,84;37.755.800,00;1,01;Giappone;Tokyo Stock Exchange;JPY
8801;MITSUI FUDOSAN LTD;Immobili;Azionario;38.016.512,91;0,53;38.016.512,91;3.323.000,00;11,44;Giappone;Tokyo Stock Exchange;JPY
6752;PANASONIC HOLDINGS CORP;Consumi Discrezionali;Azionario;37.144.185,28;0,52;37.144.185,28;2.931.300,00;12,67;Giappone;Tokyo Stock Exchange;JPY
8750;DAI-ICHI LIFE HOLDINGS INC;Finanziari;Azionario;36.802.327,30;0,51;36.802.327,30;4.420.400,00;8,33;Giappone;Tokyo Stock Exchange;JPY
6762;TDK CORP;IT;Azionario;35.220.443,60;0,49;35.220.443,60;2.469.400,00;14,26;Giappone;Tokyo Stock Exchange;JPY
5802;SUMITOMO ELECTRIC INDUSTRIES LTD;Consumi Discrezionali;Azionario;35.144.350,51;0,49;35.144.350,51;899.100,00;39,09;Giappone;Tokyo Stock Exchange;JPY
6146;DISCO CORP;IT;Azionario;33.089.909,67;0,46;33.089.909,67;116.500,00;284,03;Giappone;Tokyo Stock Exchange;JPY
5108;BRIDGESTONE CORP;Consumi Discrezionali;Azionario;33.069.197,98;0,46;33.069.197,98;718.200,00;46,04;Giappone;Tokyo Stock Exchange;JPY
4578;OTSUKA HOLDINGS LTD;Salute;Azionario;33.016.811,86;0,46;33.016.811,86;555.200,00;59,47;Giappone;Tokyo Stock Exchange;JPY
5803;FUJIKURA LTD;Industriali;Azionario;32.752.142,47;0,45;32.752.142,47;319.200,00;102,61;Giappone;Tokyo Stock Exchange;JPY
8802;MITSUBISHI ESTATE CO LTD;Immobili;Azionario;32.692.712,72;0,45;32.692.712,72;1.346.000,00;24,29;Giappone;Tokyo Stock Exchange;JPY
7751;CANON INC;IT;Azionario;32.573.573,56;0,45;32.573.573,56;1.086.100,00;29,99;Giappone;Tokyo Stock Exchange;JPY
9020;EAST JAPAN RAILWAY;Industriali;Azionario;32.468.931,82;0,45;32.468.931,82;1.231.800,00;26,36;Giappone;Tokyo Stock Exchange;JPY
8604;NOMURA HOLDINGS INC;Finanziari;Azionario;31.292.690,86;0,43;31.292.690,86;3.829.600,00;8,17;Giappone;Tokyo Stock Exchange;JPY
