15-dic-2025;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;3.022,00;;;;;;;;;;
Shares Outstanding;709.449.982,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
ITUB4;ITAU UNIBANCO HOLDING PREF SA;Finanziari;Azionario;98.276.962,32;0,30;98.276.962,32;13.155.136,00;7,47;Brasile;XBSP;BRL
9888;BAIDU CLASS A INC;Comunicazione;Azionario;94.993.953,73;0,29;94.993.953,73;6.227.786,00;15,25;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
TCS;TATA CONSULTANCY SERVICES LTD;IT;Azionario;91.013.042,19;0,28;91.013.042,19;2.556.484,00;35,60;India;National Stock Exchange Of India;INR
AXISBANK;AXIS BANK LTD;Finanziari;Azionario;90.997.264,94;0,28;90.997.264,94;6.426.310,00;14,16;India;National Stock Exchange Of India;INR
BAJFINANCE;BAJAJ FINANCE LTD;Finanziari;Azionario;88.561.212,82;0,27;88.561.212,82;7.934.720,00;11,16;India;National Stock Exchange Of India;INR
105560;KB FINANCIAL GROUP INC;Finanziari;Azionario;86.116.943,55;0,26;86.116.943,55;1.014.211,00;84,91;Corea;Korea Exchange (Stock Market);KRW
GMEXICOB;GRUPO MEXICO B;Materiali;Azionario;82.665.214,50;0,25;82.665.214,50;8.740.846,00;9,46;Messico;Bolsa Mexicana De Valores;MXN
KFH;KUWAIT FINANCE HOUSE;Finanziari;Azionario;79.662.210,93;0,24;79.662.210,93;29.742.497,00;2,68;Kuwait;Kuwait Stock Exchange;KWD
LT;LARSEN AND TOUBRO LTD;Industriali;Azionario;79.628.455,66;0,24;79.628.455,66;1.765.508,00;45,10;India;National Stock Exchange Of India;INR
2899;ZIJIN MINING GROUP LTD H;Materiali;Azionario;78.653.617,67;0,24;78.653.617,67;17.762.000,00;4,43;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
NBK;NATIONAL BANK OF KUWAIT;Finanziari;Azionario;78.189.393,33;0,24;78.189.393,33;23.456.818,00;3,33;Kuwait;Kuwait Stock Exchange;KWD
2628;CHINA LIFE INSURANCE LTD H;Finanziari;Azionario;76.747.694,34;0,24;76.747.694,34;20.912.000,00;3,67;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
BBCA;BANK CENTRAL ASIA;Finanziari;Azionario;76.257.401,74;0,23;76.257.401,74;153.112.000,00;0,50;Indonesia;Indonesia Stock Exchange;IDR
1180;THE SAUDI NATIONAL BANK;Finanziari;Azionario;75.486.047,81;0,23;75.486.047,81;7.552.832,00;9,99;Arabia Saudita;Saudi Stock Exchange;SAR
005380;HYUNDAI MOTOR;Consumi Discrezionali;Azionario;75.000.545,05;0,23;75.000.545,05;375.888,00;199,53;Corea;Korea Exchange (Stock Market);KRW
IKSA;ISHARES MSCI SAUDI ARABIA CAPPED;Finanziari;Azionario;74.752.340,67;0,23;74.752.340,67;12.415.270,00;6,02;Irlanda;London Stock Exchange;USD
KOTAKBANK;KOTAK MAHINDRA BANK LTD;Finanziari;Azionario;74.151.734,91;0,23;74.151.734,91;3.084.429,00;24,04;India;National Stock Exchange Of India;INR
FSR;FIRSTRAND LTD;Finanziari;Azionario;73.156.995,07;0,22;73.156.995,07;14.031.025,00;5,21;Sud Africa;Johannesburg Stock Exchange;ZAR
EMAAR;EMAAR PROPERTIES;Immobili;Azionario;73.027.107,22;0,22;73.027.107,22;18.888.307,00;3,87;Emirati Arabi Uniti;Dubai Financial Market;AED
2881;FUBON FINANCIAL HOLDING LTD;Finanziari;Azionario;72.208.124,43;0,22;72.208.124,43;23.693.102,00;3,05;Taiwan;Taiwan Stock Exchange;TWD
3968;CHINA MERCHANTS BANK LTD H;Finanziari;Azionario;71.214.357,56;0,22;71.214.357,56;10.941.492,00;6,51;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2382;QUANTA COMPUTER INC;IT;Azionario;70.703.731,45;0,22;70.703.731,45;7.782.000,00;9,09;Taiwan;Taiwan Stock Exchange;TWD
2891;CTBC FINANCIAL HOLDING LTD;Finanziari;Azionario;69.784.200,50;0,21;69.784.200,50;46.824.079,00;1,49;Taiwan;Taiwan Stock Exchange;TWD
3711;ASE TECHNOLOGY HOLDING LTD;IT;Azionario;68.530.396,93;0,21;68.530.396,93;9.186.734,00;7,46;Taiwan;Taiwan Stock Exchange;TWD
GFNORTEO;GPO FINANCE BANORTE;Finanziari;Azionario;67.734.433,14;0,21;67.734.433,14;6.978.211,00;9,71;Messico;Bolsa Mexicana De Valores;MXN
PETR4;PETROLEO BRASILEIRO PREF SA;Energia;Azionario;66.985.517,91;0,21;66.985.517,91;11.416.065,00;5,87;Brasile;XBSP;BRL
OTP;OTP BANK;Finanziari;Azionario;66.408.629,89;0,20;66.408.629,89;631.623,00;105,14;Ungheria;Budapest Stock Exchange;HUF
QNBK;QATAR NATIONAL BANK;Finanziari;Azionario;66.208.357,70;0,20;66.208.357,70;12.960.464,00;5,11;Qatar;Qatar Exchange;QAR
035420;NAVER CORP;Comunicazione;Azionario;66.112.125,69;0,20;66.112.125,69;404.360,00;163,50;Corea;Korea Exchange (Stock Market);KRW
034020;DOOSAN ENERBILITY LTD;Industriali;Azionario;64.986.601,95;0,20;64.986.601,95;1.239.857,00;52,41;Corea;Korea Exchange (Stock Market);KRW
USD;USD CASH;Liquidità e/o derivati;Contanti;64.569.298,31;0,20;64.569.298,31;64.569.298,00;100,00;Stati Uniti;--;USD
MARUTI;MARUTI SUZUKI INDIA LTD;Consumi Discrezionali;Azionario;64.377.501,10;0,20;64.377.501,10;355.846,00;180,91;India;National Stock Exchange Of India;INR
055550;SHINHAN FINANCIAL GROUP LTD;Finanziari;Azionario;64.126.361,73;0,20;64.126.361,73;1.221.860,00;52,48;Corea;Korea Exchange (Stock Market);KRW
857;PETROCHINA LTD H;Energia;Azionario;63.022.121,70;0,19;63.022.121,70;60.250.000,00;1,05;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
SBK;STANDARD BANK GROUP;Finanziari;Azionario;62.090.423,13;0,19;62.090.423,13;3.714.490,00;16,72;Sud Africa;Johannesburg Stock Exchange;ZAR
1024;KUAISHOU TECHNOLOGY;Comunicazione;Azionario;60.750.022,81;0,19;60.750.022,81;7.335.200,00;8,28;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2882;CATHAY FINANCIAL HOLDING LTD;Finanziari;Azionario;60.632.094,24;0,19;60.632.094,24;27.131.781,00;2,23;Taiwan;Taiwan Stock Exchange;TWD
CPI;CAPITEC LTD;Finanziari;Azionario;59.018.850,27;0,18;59.018.850,27;243.488,00;242,39;Sud Africa;Johannesburg Stock Exchange;ZAR
VAL;VALTERRA PLATINUM LTD;Materiali;Azionario;59.005.480,15;0,18;59.005.480,15;749.517,00;78,72;Sud Africa;Johannesburg Stock Exchange;ZAR
2345;ACCTON TECHNOLOGY CORP;IT;Azionario;58.786.362,11;0,18;58.786.362,11;1.524.000,00;38,57;Taiwan;Taiwan Stock Exchange;TWD
HINDUNILVR;HINDUSTAN UNILEVER LTD;Generi di largo consumo;Azionario;58.669.010,92;0,18;58.669.010,92;2.321.020,00;25,28;India;National Stock Exchange Of India;INR
7010;SAUDI TELECOM;Comunicazione;Azionario;57.874.627,01;0,18;57.874.627,01;5.111.850,00;11,32;Arabia Saudita;Saudi Stock Exchange;SAR
012450;HANWHA AEROSPACE LTD;Industriali;Azionario;57.778.841,48;0,18;57.778.841,48;93.602,00;617,28;Corea;Korea Exchange (Stock Market);KRW
000270;KIA CORPORATION CORP;Consumi Discrezionali;Azionario;57.248.166,48;0,18;57.248.166,48;679.113,00;84,30;Corea;Korea Exchange (Stock Market);KRW
PETR3;PETROLEO BRASILEIRO SA PETROBRAS;Energia;Azionario;56.580.316,30;0,17;56.580.316,30;9.201.540,00;6,15;Brasile;XBSP;BRL
