;;;;;;;;;;
WisdomTree Physical Silver;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Valuta di mercato
PHAG;Argento;Materie prime;Materie prime;28,70;100,00;50.404.367,93;277.267,00;28,70;Nessuna;USD
