15-dic-2025;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;94,00;;;;;;;;;;
Shares Outstanding;15.650.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
EVN;EVOLUTION MINING LTD;Materiali;Azionario;26.887.626,23;0,79;26.887.626,23;3.292.303,00;8,17;Australia;Asx - All Markets;AUD
11;HANG SENG BANK LTD;Finanziari;Azionario;23.835.850,91;0,70;23.835.850,91;1.208.400,00;19,73;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
SCG;SCENTRE GROUP;Immobili;Azionario;23.476.667,63;0,69;23.476.667,63;8.465.373,00;2,77;Australia;Asx - All Markets;AUD
2;CLP HOLDINGS LTD;Imprese di servizi di pubblica utilità;Azionario;23.449.649,51;0,69;23.449.649,51;2.664.000,00;8,80;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
STO;SANTOS LTD;Energia;Azionario;21.897.807,45;0,65;21.897.807,45;5.276.692,00;4,15;Australia;Asx - All Markets;AUD
ORG;ORIGIN ENERGY LTD;Imprese di servizi di pubblica utilità;Azionario;21.671.044,21;0,64;21.671.044,21;2.799.449,00;7,74;Australia;Asx - All Markets;AUD
FPH;FISHER AND PAYKEL HEALTHCARE CORPO;Salute;Azionario;20.961.795,76;0,62;20.961.795,76;954.942,00;21,95;Nuova Zelanda;New Zealand Exchange Ltd;NZD
TLS;TELSTRA GROUP LTD;Comunicazione;Azionario;20.632.670,51;0,61;20.632.670,51;6.423.238,00;3,21;Australia;Asx - All Markets;AUD
XRO;XERO LTD;IT;Azionario;20.312.748,84;0,60;20.312.748,84;269.103,00;75,48;Australia;Asx - All Markets;AUD
IAG;INSURANCE AUSTRALIA GROUP LTD;Finanziari;Azionario;20.172.945,48;0,59;20.172.945,48;3.869.002,00;5,21;Australia;Asx - All Markets;AUD
