15-dic-2025;;;;;;;;;;;
iShares MSCI USA SRI UCITS ETF;;;;;;;;;;;
Inception Date;11/07/2016;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;151,00;;;;;;;;;;
Shares Outstanding;168.986.462,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
CRH;CRH PUBLIC LIMITED PLC;Materiali;Azionario;23.235.512,58;0,62;23.235.512,58;182.583,00;127,26;Stati Uniti;New York Stock Exchange Inc.;USD
AMT;AMERICAN TOWER REIT CORP;Immobili;Azionario;23.021.725,64;0,62;23.021.725,64;127.714,00;180,26;Stati Uniti;New York Stock Exchange Inc.;USD
USB;US BANCORP;Finanziari;Azionario;22.801.398,88;0,61;22.801.398,88;424.528,00;53,71;Stati Uniti;New York Stock Exchange Inc.;USD
PNC;PNC FINANCIAL SERVICES GROUP INC;Finanziari;Azionario;22.540.555,87;0,60;22.540.555,87;106.883,00;210,89;Stati Uniti;New York Stock Exchange Inc.;USD
KEYS;KEYSIGHT TECHNOLOGIES INC;IT;Azionario;22.393.316,40;0,60;22.393.316,40;107.930,00;207,48;Stati Uniti;New York Stock Exchange Inc.;USD
BK;BANK OF NEW YORK MELLON CORP;Finanziari;Azionario;22.386.494,88;0,60;22.386.494,88;191.403,00;116,96;Stati Uniti;New York Stock Exchange Inc.;USD
ELV;ELEVANCE HEALTH INC;Salute;Azionario;22.129.268,52;0,59;22.129.268,52;61.356,00;360,67;Stati Uniti;New York Stock Exchange Inc.;USD
MCO;MOODYS CORP;Finanziari;Azionario;21.343.237,50;0,57;21.343.237,50;43.781,00;487,50;Stati Uniti;New York Stock Exchange Inc.;USD
HCA;HCA HEALTHCARE INC;Salute;Azionario;21.201.761,00;0,57;21.201.761,00;44.450,00;476,98;Stati Uniti;New York Stock Exchange Inc.;USD
JCI;JOHNSON CONTROLS INTERNATIONAL PLC;Industriali;Azionario;20.759.290,56;0,56;20.759.290,56;177.612,00;116,88;Stati Uniti;New York Stock Exchange Inc.;USD
