18-dic-2025;;;;;;;;;;;
iShares Edge MSCI World Quality Factor UCITS ETF;;;;;;;;;;;
Inception Date;03/10/2014;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;299,00;;;;;;;;;;
Shares Outstanding;53.800.000,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
ACN;ACCENTURE PLC CLASS A;IT;Azionario;27.256.511,40;0,64;27.256.511,40;100.965,00;269,96;Stati Uniti;New York Stock Exchange Inc.;USD
ADP;AUTOMATIC DATA PROCESSING INC;Industriali;Azionario;27.217.083,24;0,64;27.217.083,24;104.292,00;260,97;Stati Uniti;NASDAQ;USD
WES;WESFARMERS LTD;Consumi Discrezionali;Azionario;25.569.919,57;0,60;25.569.919,57;478.716,00;53,41;Australia;Asx - All Markets;AUD
UBER;UBER TECHNOLOGIES INC;Industriali;Azionario;25.522.714,75;0,60;25.522.714,75;320.275,00;79,69;Stati Uniti;New York Stock Exchange Inc.;USD
BLK;BLACKROCK INC;Finanziari;Azionario;24.244.497,35;0,57;24.244.497,35;22.765,00;1.064,99;Stati Uniti;New York Stock Exchange Inc.;USD
CPG;COMPASS GROUP PLC;Consumi Discrezionali;Azionario;24.238.846,21;0,57;24.238.846,21;751.528,00;32,25;Regno unito;London Stock Exchange;GBP
ANET;ARISTA NETWORKS INC;IT;Azionario;24.072.346,92;0,57;24.072.346,92;193.166,00;124,62;Stati Uniti;New York Stock Exchange Inc.;USD
UNP;UNION PACIFIC CORP;Industriali;Azionario;23.785.190,88;0,56;23.785.190,88;101.464,00;234,42;Stati Uniti;New York Stock Exchange Inc.;USD
SPGI;S&P GLOBAL INC;Finanziari;Azionario;22.679.326,18;0,53;22.679.326,18;44.758,00;506,71;Stati Uniti;New York Stock Exchange Inc.;USD
ABT;ABBOTT LABORATORIES;Salute;Azionario;22.625.574,72;0,53;22.625.574,72;180.831,00;125,12;Stati Uniti;New York Stock Exchange Inc.;USD
APH;AMPHENOL CORP CLASS A;IT;Azionario;22.532.439,28;0,53;22.532.439,28;173.848,00;129,61;Stati Uniti;New York Stock Exchange Inc.;USD
TXN;TEXAS INSTRUMENT INC;IT;Azionario;22.531.705,77;0,53;22.531.705,77;127.883,00;176,19;Stati Uniti;NASDAQ;USD
PGR;PROGRESSIVE CORP;Finanziari;Azionario;21.871.007,90;0,51;21.871.007,90;97.265,00;224,86;Stati Uniti;New York Stock Exchange Inc.;USD
ABBN;ABB LTD;Industriali;Azionario;21.357.050,43;0,50;21.357.050,43;291.767,00;73,20;Svizzera;SIX Swiss Exchange;CHF
PEP;PEPSICO INC;Generi di largo consumo;Azionario;20.953.922,34;0,49;20.953.922,34;140.282,00;149,37;Stati Uniti;NASDAQ;USD
NESN;NESTLE SA;Generi di largo consumo;Azionario;20.314.771,74;0,48;20.314.771,74;201.927,00;100,60;Svizzera;SIX Swiss Exchange;CHF
HON;HONEYWELL INTERNATIONAL INC;Industriali;Azionario;20.255.462,72;0,48;20.255.462,72;102.259,00;198,08;Stati Uniti;NASDAQ;USD
LIN;LINDE PLC;Materiali;Azionario;19.875.628,63;0,47;19.875.628,63;47.437,00;418,99;Stati Uniti;NASDAQ;USD
ZURN;ZURICH INSURANCE GROUP AG;Finanziari;Azionario;18.841.901,26;0,44;18.841.901,26;25.254,00;746,10;Svizzera;SIX Swiss Exchange;CHF
6857;ADVANTEST CORP;IT;Azionario;18.473.136,39;0,43;18.473.136,39;152.800,00;120,90;Giappone;Tokyo Stock Exchange;JPY
TT;TRANE TECHNOLOGIES PLC;Industriali;Azionario;18.237.085,24;0,43;18.237.085,24;47.342,00;385,22;Stati Uniti;New York Stock Exchange Inc.;USD
